id,name,city,phone,website,address,twitter,instagram,facebook,createdBy,categoryId,createdAt,updatedAt
64,A&M Jaimaican Bag Juice and Beef Patty,Seattle,null,null,null,https://twitter.com/UpliftProject1,null,https://www.facebook.com/bagjuiceandbeefpatty,avaarm,16,2020-05-30 02:57:55,2020-05-30 02:57:55 
65,Adey Abeda,Central-District-Seattle,(206)322-1617,https://adeyabeba.net/,2123 East Union St.,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
66,Amy's Merkato,Hillman City-Seattle,(206)324-2527,https://amyscafeseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
67,Baked from the Hart,Mt Baker-Seattle,(206)650-9191,bakedfromthehart.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
68,Bananas Grill,Rainier Valley-Seattle,(206)420-4839,https://www.facebook.com/Bananas-Grill/,null,null,null,null,https://www.facebook.com/Bananas-Grill/,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
69,Black Magic Sweets,Greenwood-Seattle,null,www.blackmagicsweets.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
70,Blackstar Kebabs,Seattle,(206)499-4019,http://www.blackstarkebab.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
71,Bongos,Seattle,(206)420-8548,https://bongosseattle.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
72,Brown Liquor Cocktail Company,Seattle,null,http://www.blackstarkebab.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
73,Brown Sugar Baking Company,Central District-Seattle,(206)538-0881,http://brownsugarbakingcompany.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
74,Bruchelle's Bagel Bistro,Seattle,(253)236-4373,https://www.bruchelles.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
75,Cafe Avole,Seattle,(206)472-4096,https://www.facebook.com/cafeavole/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
76,Cafe Campagne,Seattle,(206)728-2233,http://cafecampagne.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
77,Cafe Salem,Seattle,(206)328-0404,https://www.cafeselam.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
78,Central Cafe and Juice Bar,Seattle,(206)538-0380,https://www.centralcafeseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
79,City Teriyaki,Seattle,(206)723-2489,cityteriyaki.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
80,Conscious Eatery,Seattle,(206)659-4098,http://consciouseatery.org/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
81,Corte Fino,Seattle,(206)687-7491,https://www.facebook.com/cortefino206/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
19,Cortona Cafe,Seattle,(206)327-9728,http://cortonacafe.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
20,Delish Ethiopian,Seattle,(206)723-3821,http://delishethiopianfood.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
21,Emerald City Fish and Chips,Seattle,(206)760-3474,emeraldcityfishandchips.com,null,null,null,null,avaarm95,21,2020-05-30 02:57:55,2020-05-30 02:57:55
22,Emma's BBQ,Seattle,(206)413-1523,https://www.facebook.com/emmasbbq1/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
23,Enat Ethiopian,Seattle,(206)362-4901,https://m.facebook.com/EnatEthiopianRestaurant/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
24,Ezell's Fried Chicken,Seattle,Comign soon,https://ezellschicken.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
25,Fat's Chicken and Waffles,Seattle,(206)602-6863,http://fatschickenandwaffles.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
26,Feed the People,Seattle,2064994019,https://www.instagram.com/feedthepeopleseattle/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
27,Footprint Wine Tap,Seattle,null,https://footprintwine.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
28,Gravy,Seattle,(206)485-7175,https://www.gravyvashon.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
29,Heaven Sent Fried Chicken,Seattle,(206)463-0489,https://www.heavensentfriedchicken.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
30,Island Soul,Seattle,(206)363-1167,https://www.islandsoulrestaurant.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
31,Jebena Cafe,Seattle,(206)365-0757,https://jebenacafe.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
32,Jerk Shack,Seattle,(206)441-7817,https://jerkshackseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
33,Jones Barbecue,Seattle,(206)739-6169,https://www.jonesbarbeque.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
